Name;Address;contact;ps
POSTA BAZAR NAGARIK SAMITY ;56/1/1, STRAND BANK ROAD, Kolkata 700006;9836995428; NORTH PORT PS 
Avenue South Pally Mangal Samiti;4, Avenue South Santoshpur, Kolkata – 75;9432526553; Survey Park P.S.
Deeshari Abashik Brinda Puja Committee,;46A, Kalikapur, Kolkata – 99;9432526553; Survey Park P.S.
Eastern Park Netaji Sangstha Durgotsav Committee;at 45 Hospital Link Rd, Eastern Park, Kolkata – 75,;9432526553; Survey Park P.S.
Garfa Kalikapur Sarbojanin Durgotsav Samity Organized by Joy Jatri Club,;Garfa Patwaripara,;9432526553; Survey Park P.S.
Garfa Sarbojanin Durgotsav, Org. by Nagarik Brinda;102/1 Garfa Main Rd, Kolkata – 75;9432526553; Survey Park P.S.
Garfa Sitala Mandir Sarbojanin Durgotsav,;13A/1, Garfa Sitala Mandir Road, Kolkata – 75,;9432526553; Survey Park P.S.
Green Avenue Friends Recreation Club (Sarbojanin Durgotsav Committee);25A, Green Avenue, Kolkata – 75;9432526553; Survey Park P.S.
Hind Road Sarbojanin Durgotsav Committee.;Hind Road, New Santoshpur, Kolkata – 75;9432526553; Survey Park P.S.
Jadavpur Sammilani;42, Naskar Para Road, Jadavpur, Kolkata – 75;9432526553; Survey Park P.S.
Kalikapur Sarbojanin Durgotsav, Organized by Adibashi Brinda,;D/30/1, Purba Rajapur,;9432526553; Survey Park P.S.
Kalikapur Uttarpara Sarbojanin Durgotsav committee,;18/3, Kalikapur, Kolkata – 99,;9432526553; Survey Park P.S.
Madhya Garfa Sarbojanin Durgotsav Puja Committee                   ( Jadavpur);73, Garfa Main Rd, Kolkata – 75;9432526553; Survey Park P.S.
Mahila Mzlish;Nandan Kanan Santoshpur, Kolkata  75;9432526553; Survey Park P.S.
Middle Road Sarbojanin Durgotsav;at 22B, Middle Road, Kol–75;9432526553; Survey Park P.S.
Modern Park Sarbojanin Durgotsav Committee, Modern Park;Santoshpur, Kolkata – 75,;9432526553; Survey Park P.S.
New Santoshpur Adi Durgotsav;34A, New Santoshpur Main Road, Kolkata – 75;9432526553; Survey Park P.S.
Proyashi Mahila Sangstha;21/F Santoshpur East Rd, Kolkata – 75,;9432526553; Survey Park P.S.
Purba Diganta Sarbojanin Saradatsav;at Purba Diganta, Kolkata – 75;9432526553; Survey Park P.S.
Purba Garfa Sarbojanin Durga Puja Committee,;31 No. Vivekananda Sarani, Kolkata – 75,;9432526553; Survey Park P.S.
Purba Jadavpur Sarbojanin Durgotsav organized by Friends Club,;Kolkata – 75,;9432526553; Survey Park P.S.
Purba Modern Park Sarbojanin Durgotsav Committee Natunpath organized by Saptarsi;49/5 Second Street Modern Park, Kolkata – 75,;9432526553; Survey Park P.S.
Purba Modern Park Sarbojanin Durgotsav committee,;Natunpath, Modern Park, Kolkata – 75;9432526553; Survey Park P.S.
Purba New Santoshpur Sarbojanin Durgotsav Committee;11/2 Ajanta Road, Kolkata – 75,;9432526553; Survey Park P.S.
Purba Rajapur “D” Block Adhibashi Brinda;;9432526553; Survey Park P.S.
Purba Rajapur Adhibashi Brinda (Bastutala);at A/1, East Rajapur, Kolkata – 75,;9432526553; Survey Park P.S.
Purba Santoshpur Sarbojanin Durgotsav, Organised by Purba Santoshpur Mohila Binda,;20, Lake East 6th road, Kolkata – 75,;9432526553; Survey Park P.S.
Purba Santoshpur Sarbojanin Durgotsav, Rani Rash Moni Bagan;Santoshpur, Kolkata – 75;9432526553; Survey Park P.S.
Rajapur Harisabha Yubak Brinda, Organised by Rajapur Harisabha Yubak Brinda, Kolkata – 75,;Organised by Rajapur Harisabha Yubak Brinda, Kolkata – 75,;9432526553; Survey Park P.S.
Rajapur Santoshpur Sarbojanin Durgotsav Puja Committee,;1, Kabi Sukanta Road, Kolkata – 75,;9432526553; Survey Park P.S.
Sagnik Durgotsav Committee;10, Avenue 1st Road, Santoshpur, Kolkata – 75,;9432526553; Survey Park P.S.
Santoshpur Adi Sarbojanin Durgotsav Puja Committee;19/4, K.K. Majumdar Road, Kolkata –75;9432526553; Survey Park P.S.
Santoshpur Balak Brinda Sarbojanin Durgotsav,;17/A, Kalibari Road, Kolkata – 75,;9432526553; Survey Park P.S.
Santoshpur Lake Pally;4A,Lake West Road, Santoshpur, Kolkata – 75;9432526553; Survey Park P.S.
Santoshpur Sarbojanin Durgotsav, Org. by Santoshpur Agrani & Bidhan Colony;25, Santoshpur Avenue, Kolkata – 75,;9432526553; Survey Park P.S.
Santoshpur Subodh Park Sarbojanin Durgotsav,;90/1 K.K.M. Road, Kolkata – 75;9432526553; Survey Park P.S.
Santoshpur Trikon Park Sarbojanin Durgotsav,;31, Santoshpur Avenue, Kolkata – 75,;9432526553; Survey Park P.S.
Sarbojanin Durgotsav Sthyaniya Adhibasi Brinda;66, Ajanta Road, Kolkata – 75;9432526553; Survey Park P.S.
Sarbojanin Durgotsav, Sammilani Park,;Kolkata – 75;9432526553; Survey Park P.S.
Sonar Toree;13, Avenue North, Santoshpur, Kolkata – 75,;9432526553; Survey Park P.S.
Survey Park Durgotsav Committee,;Neelpukur, Survey Park, Kolkata – 75,;9432526553; Survey Park P.S.
Survey Park Durgotsav Committee, Matri Mandir;Santoshpur, Kolkata – 75;9432526553; Survey Park P.S.
Tarun Sangstha Sarbojanin Durgotsav.;1, Rash Mohan Bhadra Rd, Kolkata – 75;9432526553; Survey Park P.S.
Vivekananda Sarani Sarbojanin Durgotsav Committee;67, Vivekananda Sarani, Kolkata – 78;9432526553; Survey Park P.S.
PITAMBAR GHATAK LANE, SARBOJANIN DURGOTSAV COMMITTEE. ;2/1,Pitambar Ghatak Lane. Kolkata 27.;;Alipore PS.
CHETLA HAT SARBOJANIN DURGOTSABCOMMITTEE ;20, Chetla Hat Road. Kolkata 27.;;Alipore PS.
CHETLA YOUNG ATHLETIC CLUB. ;5/1, Paramhansha Dev Rd. Kolkata 27.;;Alipore PS.
PARAMHANSHA DEV  ROAD SARBOJANIN DURGOTSAV COMMITTEE.;5, Paramhansha Dev Road. Kolkata 27;;Alipore PS.
ALIPORE SARBOJANIN DURGOTSAV COMMITTEE. ;50, Alipore Road., Kolkata 27.;;Alipore PS.
86, PALLY CLUB & LIBRARY ;2, Chetla Hat Road. Kolkata 27;;Alipore PS.
BRIDGE ROAD SWADHIN SANGHA ;4A, Rakhal Das Addy Rd. Kolkata 27.;;Alipore PS.
78,PALLY SARBOJANIN DURGOTSAV COMMITTEE. ;4/4, Aftab Mosque Lane, Kolkata 27;;Alipore PS.
VIDYASAGAR COLONY ;3, D.L. Khan Rd. Kolkata 27.;;Alipore PS.
CHETLA SARBO SADHARANER DURGOTSAB COMMITTEE.;35, Chetla Road. Kolkata 27;;Alipore PS.
GOPAL NAGAR SARBOJANIN DURGOTSAB  COMMITTEE ;39/18/A, Gopal Nagar Rd. Kolkata 27.;;Alipore PS.
O.N.G.C. COMPLEX COMMUNITY DURGAPUJA COMMITTEE ;5B Penn Rd, Kolkata 27.;;Alipore PS.
ALIPORE CENTRAL CORRECTIONAL  HOME (INSIDE);Alipore Central Correctional Home ;;Alipore PS.
BOYS SPORTING ASSOCIATION ALIPORE PRESIDENCY CORRECTIONAL HOME ;2/2, Thakery Rd., Kolkata 27 .( Near Presidency Jail );;Alipore PS.
CHETLA MAITRA SANGHA;45/A, Rakhal Das Adi Rd. Kolkata 27.;;Alipore PS.
BELVEDERE ESTATE DURGA PUJA COMMITTEE.;1,BelvedereRoad. Kolkata 27.;;Alipore PS.
AGAMANI  SANGHA;101, Rakhal Das Adi Rd. Kolkata 27;;Alipore PS.
ALIPORE   P.S. COMPOUND DURGAPUJA COMMITTEE.  ;8,BelvedereRoad. Kolkata 27;;Alipore PS.
ALIPORE CENTRAL CORRECTIONAL  HOME  RECREATION CLUB. .;Alipore Central Jail Compound 2/1A, Baker Road, Kolkata 27;;Alipore PS.
BELVEDERE  COMPLEX DURGOTSAV COMMITTEE ;30,BelvedereRoad. Kolkata 27;;Alipore PS.
ABHINANDAN SARBOJANIN DURGOTSAB COMMITTEE (PUC CLUB) ;VIVEK PARK, GARIA, Kolkata 84;8444966825;Bansdroni PS
ARUNADAYA SANGHA ;ROY NAGAR POSTAL PARK, BANSDRONI Kolkata 70;8444966825;Bansdroni PS
ATABAGAN  SORBOJANION  DURGOTSAB ;KALYAN PARISHAD, GARIA;8444966825;Bansdroni PS
BAISHALI PARK ABASIK COMMITTEE ;BAISHALI PARK, GARIA, Kolkata 84;8444966825;Bansdroni PS
BALAK SEVA SAMITY JANATA COLONY, ;ROY NAGAR, BANSDRONI, Kolkata 70;8444966825;Bansdroni PS
BANK GARDEN CLUB;;8444966825;Bansdroni PS
BANSDRONI ANIRBAN SHIKHA ;B-11 BRAHMAPUR NORTHERN PARK, Kolkata 70;8444966825;Bansdroni PS
BANSDRONI NABA TARUN SANGHA NABA PALLY, Kolkata 70;NABA PALLY, Kolkata 70;8444966825;Bansdroni PS
BANSDRONI NABARUN CLUB ROY ;NAGAR MADHYPARA, Kolkata 70;8444966825;Bansdroni PS
BANSDRONI PRAGATI SANGHA ;SOUTH ROY NAGAR, BANSDRONI, Kolkata 70;8444966825;Bansdroni PS
BANSDRONI SREE SANGHA ;13, ADIGANGA CO-OPERATIVE ROAD, Kolkata 70;8444966825;Bansdroni PS
BHATTACHRJEE  PARA  NAGARIK SAMITY; D-44, BRAHMAPUR SOUTH END, Kolkata 96;8444966825;Bansdroni PS
BIDHAN PALLY ADI SARBIJANIN DURGA PUJA SAMITY GARIA, Kolkata 84; GARIA, Kolkata 84;8444966825;Bansdroni PS
BIDHAN PALLY SISHU ;UDYAN JORA PARK, Kolkata 84;8444966825;Bansdroni PS
BIJAN KANAN DEVELOPMENT SOCIETY ;BATTALA BRAHMAPUR,  Kolkata 96;8444966825;Bansdroni PS
BRAHAMAPUR BATTALA CUL. ASSCN. BADAMTALA, Kolkata 96;BRAHAMAPUR BATTALA CUL. ASSCN. BADAMTALA, Kolkata 96;8444966825;Bansdroni PS
BRAHAMAPUR ROY NAGAR SARBOJANIN DURGOTSAB AGRAGAMI SANGHA;BRAHAMAPUR ROY;8444966825;Bansdroni PS
BRAHMAPUR BORAL SARBOJONIN DURGOTSAB ;(BALAK SANGHA) BRAHAMAPUR SOUTH, Kolkata 96;8444966825;Bansdroni PS
BRAHMAPUR GHOSH PARA SARBOJANIN DURGOTSAB UDAY ;SANGHA, GARIA, Kolkata 84;8444966825;Bansdroni PS
BRAHMAPUR HARISAVA SARBOJANIN DURGOTSAB COMMITTEE ;AGRADOOT CLUB, BRAHMAPUR, GARIA, Kolkata 84;8444966825;Bansdroni PS
BRAHMAPUR NATH PARA YUBAK SANGHA ;GARIA, Kolkata 84;8444966825;Bansdroni PS
BRAHMAPUR PRAGATI PARK RESID. ASSCN.;BADAMTALA PRAGATI PARK, Kolkata 96;8444966825;Bansdroni PS
BRAHMAPUR SABUJ SONALI SANGHA ;D-12 BRAHMAPUR PLACE, Kolkata 96;8444966825;Bansdroni PS
BRAHMAPUR SAMMILANI SANGHA ;MALIPARA, Kolkata 96;8444966825;Bansdroni PS
"BRAHMAPUR SARBOJONIN DURGOTSAB COMMITTEE

";BRAHNAPUR MORE, Kolkata 96;8444966825;Bansdroni PS
BRAHMAPUR SHIV MANDIR ANCHAL SARBOJANIN DURGOTSAB MAHILA COMMITTEE;BRAHMAPUR SHIV MANDIR ;8444966825;Bansdroni PS
BRAHMAPUR SOUTH SARBOJANIN DURGA PUJA COMMITTEE SHIV MANDIR ROAD;SHIV MANDIR ROAD;8444966825;Bansdroni PS
DISHARI PUJA COMMITTEE ;BADAMTALA Kolkata 96;8444966825;Bansdroni PS
GARIA KISHORE CHAKRA KISHORE PARK, Kolkata 84;GARIA KISHORE CHAKRA KISHORE PARK, Kolkata 84;8444966825;Bansdroni PS
GARIA MAA SARADA UNNAYANI SAMITY ;BIHAN PALLY, NABA PALLY,GARIA Kolkata 84;8444966825;Bansdroni PS
GHOSTOTALA SARBOJANIN  DURGOTSAB COMMITTEE ;KAMDAHARI, GARIA, Kolkata 84;8444966825;Bansdroni PS
GREEN PARK ABASHIK COMMITTEE ;GARIA, Kolkata 84;8444966825;Bansdroni PS
GREEN PARK ASSCN. ;B79, BORAL MAIN ROAD, ATABAGAN, Kolkata 84;8444966825;Bansdroni PS
